Title	RTIA	RTPP	MZ_IA	MZ_PP	IA_113	IA_114	IA_115	IA_116	IA_117	IA_118	IA_119	IA_121	PP_113	PP_114	PP_115	PP_116	PP_117	PP_118	PP_119	PP_121	decoy	PP_114:113	PP_115:113	PP_116:113	PP_117:113	PP_118:113	PP_119:113	PP_121:113	IA_114:113	IA_115:113	IA_116:113	IA_117:113	IA_118:113	IA_119:113	IA_121:113
e_16629192861955322805	1715.12	1715.12	689.8823853	689.8835	11820.5	11070.7	5610.06	6226.53	11151.9	12079.7	5777.36	6140.02	11568.99	10956.75	5249.54	75.7	10841.39	11854.35	5777.96	75.07	0	0.9470792	0.4537596	0.4963026	0.9371077	1.024666	0.4994351	0.5345851	0.936567827	0.474604289	0.526756905	0.943437249	1.021928006	0.488757667	0.519438264
e_13698630588068470479	1719.72	1719.72	538.9669189	538.9681	6434.84	5981.22	3152.78	2841.47	6574.82	6491.19	3475.86	3470.13	6436.21	5983.25	3047.34	57.33	6576.18	6400.5	3475.72	58.1	0	0.9296232	0.4734681	0.4250359	1.021747	0.9944517	0.5400259	0.5342725	0.929505629	0.489954684	0.441575859	1.021753455	1.008757016	0.540162615	0.53927215
e_1758996705560356660	1720.49	1720.49	587.3577881	587.3589	9512.84	10093.6	4971.68	5254.79	9153.42	10080.6	5268.26	5406.79	9516.63	9921.36	4797.46	72.23	9171.59	9877.32	5269.51	71.56	0	0	0	0	0	0	0	0	1.061050118	0.522628363	0.552389192	0.962217382	1.059683544	0.553805173	0.568367596
e_7650163881879238852	1721.38	1721.38	366.2425232	366.2438	5752.31	5876.4	2548.06	3190.21	5444.5	6106.2	3262.63	2763.53	5755.54	5679.85	2573.57	53.15	5481.78	5634.34	3178.65	55.51	0	0.9868492	0.4471466	0.4721017	0.9524354	0.978942	0.5522766	0.478393	1.021572203	0.442962914	0.554596327	0.946489323	1.061521371	0.567186052	0.480420909
e_7650163881879238852	1721.38	1721.38	366.2425232	366.2438	5752.31	5876.4	2548.06	3190.21	5444.5	6106.2	3262.63	2763.53	5755.54	5679.85	2573.57	53.15	5481.78	5634.34	3178.65	55.51	0	0.9868492	0.4471466	0.4721017	0.9524354	0.978942	0.5522766	0.478393	1.021572203	0.442962914	0.554596327	0.946489323	1.061521371	0.567186052	0.480420909
e_7650163881879238852	1721.38	1721.38	366.2425232	366.2438	5752.31	5876.4	2548.06	3190.21	5444.5	6106.2	3262.63	2763.53	5755.54	5679.85	2573.57	53.15	5481.78	5634.34	3178.65	55.51	0	0.9868492	0.4471466	0.4721017	0.9524354	0.978942	0.5522766	0.478393	1.021572203	0.442962914	0.554596327	0.946489323	1.061521371	0.567186052	0.480420909
e_7650163881879238852	1721.38	1721.38	366.2425232	366.2438	5752.31	5876.4	2548.06	3190.21	5444.5	6106.2	3262.63	2763.53	5755.54	5679.85	2573.57	53.15	5481.78	5634.34	3178.65	55.51	0	0.9868492	0.4471466	0.4721017	0.9524354	0.978942	0.5522766	0.478393	1.021572203	0.442962914	0.554596327	0.946489323	1.061521371	0.567186052	0.480420909
e_7650163881879238852	1721.38	1721.38	366.2425232	366.2438	5752.31	5876.4	2548.06	3190.21	5444.5	6106.2	3262.63	2763.53	5755.54	5679.85	2573.57	53.15	5481.78	5634.34	3178.65	55.51	0	0.9868492	0.4471466	0.4721017	0.9524354	0.978942	0.5522766	0.478393	1.021572203	0.442962914	0.554596327	0.946489323	1.061521371	0.567186052	0.480420909
e_7650163881879238852	1721.38	1721.38	366.2425232	366.2438	5752.31	5876.4	2548.06	3190.21	5444.5	6106.2	3262.63	2763.53	5755.54	5679.85	2573.57	53.15	5481.78	5634.34	3178.65	55.51	0	0.9868492	0.4471466	0.4721017	0.9524354	0.978942	0.5522766	0.478393	1.021572203	0.442962914	0.554596327	0.946489323	1.061521371	0.567186052	0.480420909
e_7650163881879238852	1721.38	1721.38	366.2425232	366.2438	5752.31	5876.4	2548.06	3190.21	5444.5	6106.2	3262.63	2763.53	5755.54	5679.85	2573.57	53.15	5481.78	5634.34	3178.65	55.51	0	0.9868492	0.4471466	0.4721017	0.9524354	0.978942	0.5522766	0.478393	1.021572203	0.442962914	0.554596327	0.946489323	1.061521371	0.567186052	0.480420909
e_7650163881879238852	1721.38	1721.38	366.2425232	366.2438	5752.31	5876.4	2548.06	3190.21	5444.5	6106.2	3262.63	2763.53	5755.54	5679.85	2573.57	53.15	5481.78	5634.34	3178.65	55.51	1	0.9868492	0.4471466	0.4721017	0.9524354	0.978942	0.5522766	0.478393	1.021572203	0.442962914	0.554596327	0.946489323	1.061521371	0.567186052	0.480420909
e_7650163881879238852	1721.38	1721.38	366.2425232	366.2438	5752.31	5876.4	2548.06	3190.21	5444.5	6106.2	3262.63	2763.53	5755.54	5679.85	2573.57	53.15	5481.78	5634.34	3178.65	55.51	0	0.9868492	0.4471466	0.4721017	0.9524354	0.978942	0.5522766	0.478393	1.021572203	0.442962914	0.554596327	0.946489323	1.061521371	0.567186052	0.480420909
e_7650163881879238852	1721.38	1721.38	366.2425232	366.2438	5752.31	5876.4	2548.06	3190.21	5444.5	6106.2	3262.63	2763.53	5755.54	5679.85	2573.57	53.15	5481.78	5634.34	3178.65	55.51	0	0.9868492	0.4471466	0.4721017	0.9524354	0.978942	0.5522766	0.478393	1.021572203	0.442962914	0.554596327	0.946489323	1.061521371	0.567186052	0.480420909
e_7650163881879238852	1721.38	1721.38	366.2425232	366.2438	5752.31	5876.4	2548.06	3190.21	5444.5	6106.2	3262.63	2763.53	5755.54	5679.85	2573.57	53.15	5481.78	5634.34	3178.65	55.51	0	0.9868492	0.4471466	0.4721017	0.9524354	0.978942	0.5522766	0.478393	1.021572203	0.442962914	0.554596327	0.946489323	1.061521371	0.567186052	0.480420909
e_7650163881879238852	1721.38	1721.38	366.2425232	366.2438	5752.31	5876.4	2548.06	3190.21	5444.5	6106.2	3262.63	2763.53	5755.54	5679.85	2573.57	53.15	5481.78	5634.34	3178.65	55.51	0	0.9868492	0.4471466	0.4721017	0.9524354	0.978942	0.5522766	0.478393	1.021572203	0.442962914	0.554596327	0.946489323	1.061521371	0.567186052	0.480420909
e_7650163881879238852	1721.38	1721.38	366.2425232	366.2438	5752.31	5876.4	2548.06	3190.21	5444.5	6106.2	3262.63	2763.53	5755.54	5679.85	2573.57	53.15	5481.78	5634.34	3178.65	55.51	0	0.9868492	0.4471466	0.4721017	0.9524354	0.978942	0.5522766	0.478393	1.021572203	0.442962914	0.554596327	0.946489323	1.061521371	0.567186052	0.480420909
e_5623480869997906827	1722.27	1722.27	375.2489624	375.2503	1606.17	2005.34	987.209	1355.45	1350.17	1954.56	807.583	730.58	1554.19	1559.84	746.48	28.57	1318.06	1543.34	815.41	28.15	0	1.003635	0.4803016	0.5561933	0.8480688	0.9930189	0.5246527	0.4620542	1.248522884	0.614635437	0.843901953	0.84061463	1.216907301	0.502800451	0.454858452
e_12516564432334519918	1725.48	1725.48	685.8953247	685.8964	18302.3	18737.6	9854.88	9909.65	18632.6	19023.2	10051.3	8978.68	18313.03	18069.49	8739.64	97.64	18407.86	18581.22	9808.5	97.64	0	0.9867013	0.4772362	0.530276	1.005178	1.014645	0.5356023	0.4860075	1.023783896	0.538450359	0.541442879	1.018046912	1.039388492	0.549182343	0.490576594
e_3720405956694253467	1726.14	1726.14	548.8604736	548.8616	24173.4	25132.2	12324.1	13748.2	26234.7	26564.8	13990.7	14512.3	24193.07	23698.59	12077.55	114.34	25214.54	25108.54	13904.08	116.17	0	0.9795611	0.4992152	0.5206834	1.042222	1.03784	0.5747133	0.6003579	1.039663432	0.509820712	0.568732574	1.085271414	1.09892692	0.578764262	0.600341698
e_3720405956694253467	1726.14	1726.14	548.8604736	548.8616	24173.4	25132.2	12324.1	13748.2	26234.7	26564.8	13990.7	14512.3	24193.07	23698.59	12077.55	114.34	25214.54	25108.54	13904.08	116.17	0	0.9795611	0.4992152	0.5206834	1.042222	1.03784	0.5747133	0.6003579	1.039663432	0.509820712	0.568732574	1.085271414	1.09892692	0.578764262	0.600341698
e_3720405956694253467	1726.14	1726.14	548.8604736	548.8616	24173.4	25132.2	12324.1	13748.2	26234.7	26564.8	13990.7	14512.3	24193.07	23698.59	12077.55	114.34	25214.54	25108.54	13904.08	116.17	0	0.9795611	0.4992152	0.5206834	1.042222	1.03784	0.5747133	0.6003579	1.039663432	0.509820712	0.568732574	1.085271414	1.09892692	0.578764262	0.600341698
e_3720405956694253467	1726.14	1726.14	548.8604736	548.8616	24173.4	25132.2	12324.1	13748.2	26234.7	26564.8	13990.7	14512.3	24193.07	23698.59	12077.55	114.34	25214.54	25108.54	13904.08	116.17	0	0.9795611	0.4992152	0.5206834	1.042222	1.03784	0.5747133	0.6003579	1.039663432	0.509820712	0.568732574	1.085271414	1.09892692	0.578764262	0.600341698
e_3720405956694253467	1726.14	1726.14	548.8604736	548.8616	24173.4	25132.2	12324.1	13748.2	26234.7	26564.8	13990.7	14512.3	24193.07	23698.59	12077.55	114.34	25214.54	25108.54	13904.08	116.17	0	0.9795611	0.4992152	0.5206834	1.042222	1.03784	0.5747133	0.6003579	1.039663432	0.509820712	0.568732574	1.085271414	1.09892692	0.578764262	0.600341698
e_3720405956694253467	1726.14	1726.14	548.8604736	548.8616	24173.4	25132.2	12324.1	13748.2	26234.7	26564.8	13990.7	14512.3	24193.07	23698.59	12077.55	114.34	25214.54	25108.54	13904.08	116.17	0	0.9795611	0.4992152	0.5206834	1.042222	1.03784	0.5747133	0.6003579	1.039663432	0.509820712	0.568732574	1.085271414	1.09892692	0.578764262	0.600341698
